"","V1","V2"
"1",11.8607991,46.4997284
"2",11.8607696,46.4997572
"3",11.8606442,46.4998586
"4",11.860671,46.4998997
"5",11.8610259,46.4998561
"6",11.8612813,46.4997474
"7",11.861456,46.4996578
"8",11.8619541,46.4991962
"9",11.86256,46.4990135
"10",11.8633456,46.498683
"11",11.8638174,46.4984206
"12",11.8646643,46.4978303
"13",11.8664136,46.4970599
"14",11.8667563,46.4971894
"15",11.8671035,46.497416
"16",11.8675193,46.4975466
"17",11.8689093,46.4976043
"18",11.870019,46.4974112
"19",11.8708916,46.4972394
"20",11.8716075,46.4971153
"21",11.8719374,46.4970898
"22",11.8722235,46.4970778
"23",11.8723837,46.4971192
"24",11.7993772,46.554115
"25",11.7991912,46.5542687
"26",11.7988032,46.5541705
"27",11.79841,46.5540436
"28",11.7973769,46.553934
"29",11.7962872,46.5540117
"30",11.7951923,46.5540855
"31",11.7945716,46.5541037
"32",11.793896,46.5541932
"33",11.7931311,46.5544254
"34",11.7915961,46.5546144
"35",11.7900425,46.5548436
"36",11.7856233,46.5561153
"37",11.7850704,46.5561709
"38",11.7848146,46.5561386
"39",11.7846351,46.5560609
"40",11.7844596,46.5557509
"41",11.7843518,46.5556185
"42",11.784189,46.5555053
"43",11.783587,46.5553866
"44",11.7829031,46.5554085
"45",11.7815416,46.5560147
"46",11.7807822,46.5563424
"47",11.7798752,46.5566231
"48",11.7791555,46.556681
"49",11.7785359,46.5566147
"50",11.7780155,46.556649
"51",11.7765638,46.5571096
"52",11.7980795,46.5505775
"53",11.797346,46.5499137
"54",11.7968962,46.5497186
"55",11.7959534,46.5498703
"56",11.7951189,46.5505639
"57",11.7950376,46.5509053
"58",11.7936201,46.5515424
"59",11.8635852,46.4771198
"60",11.8633579,46.4774712
"61",11.8627414,46.4784242
"62",11.8620168,46.4797459
"63",11.861332,46.4813613
"64",11.8610942,46.4820596
"65",11.8607986,46.4829873
"66",11.8608074,46.4837846
"67",11.8607696,46.4855849
"68",11.8609456,46.4867886
"69",11.8616069,46.4875935
"70",11.8619197,46.48964
"71",11.863014,46.4909405
"72",11.8650298,46.4925713
"73",11.8665367,46.4935003
"74",11.8748164,46.4894599
"75",11.8742632,46.4902873
"76",11.8740095,46.4907077
"77",11.8733158,46.4918573
"78",11.8728606,46.4923169
"79",11.8726592,46.4937179
"80",11.872792,46.4943389
"81",11.8729404,46.4947466
"82",11.8730718,46.4950162
"83",11.8768462,46.4843236
"84",11.8768151,46.4846205
"85",11.8768057,46.4850586
"86",11.8768772,46.4856263
"87",11.8767979,46.4863073
"88",11.8766646,46.4864652
"89",11.8754171,46.4879246
"90",11.8750043,46.4886255
"91",11.8748351,46.4892881
"92",11.8748164,46.4894599
"93",11.7504438,46.5319038
"94",11.7505298,46.5318678
"95",11.7507395,46.5318109
"96",11.75073,46.5319738
"97",11.7507463,46.5321015
"98",11.7510731,46.5319948
"99",11.750819,46.5320861
"100",11.7507463,46.5321015
"101",11.7506872,46.5321744
"102",11.7500963,46.532669
"103",11.7498192,46.5329226
"104",11.7497702,46.5330587
"105",11.7497439,46.5333308
"106",11.7498039,46.5343039
"107",11.868117,46.4758766
"108",11.8688653,46.4770713
"109",11.8688779,46.4773867
"110",11.8687382,46.47775
"111",11.8684517,46.4784316
"112",11.867811,46.479426
"113",11.8672106,46.4802749
"114",11.8668702,46.4805845
"115",11.8665739,46.4808386
"116",11.8664883,46.48116
"117",11.8664323,46.4816974
"118",11.8664544,46.4822182
"119",11.8666803,46.4826974
"120",11.8675665,46.483273
"121",11.8684014,46.4835084
"122",11.8694768,46.4834927
"123",11.8704589,46.4838234
"124",11.8713337,46.4842737
"125",11.8716871,46.4849125
"126",11.8719215,46.4855285
"127",11.8721499,46.4864535
"128",11.7946088,46.5504732
"129",11.7951189,46.5505639
"130",11.7506438,46.5321288
"131",11.750408,46.532264
"132",11.7501765,46.5323534
"133",11.7500115,46.532355
"134",11.7496269,46.5327876
"135",11.7495791,46.5328859
"136",11.7495871,46.5333944
"137",11.7496739,46.5338014
"138",11.7497602,46.5341597
"139",11.7497558,46.534209
"140",11.7498039,46.5343039
"141",11.7499364,46.5341145
"142",11.7498787,46.5336393
"143",11.7499118,46.533411
"144",11.7499515,46.5331522
"145",11.7501542,46.5328818
"146",11.7504731,46.5325863
"147",11.750727,46.5322511
"148",11.7508401,46.5321208
"149",11.7507463,46.5321015
"150",11.7506438,46.5321288
"151",11.8612813,46.4997474
"152",11.861276,46.4997065
"153",11.8613524,46.499469
"154",11.8614485,46.4991955
"155",11.8616406,46.4990182
"156",11.8621188,46.4988949
"157",11.86249,46.4988393
"158",11.8628524,46.4987627
"159",11.863479,46.4984996
"160",11.8638328,46.4983223
"161",11.8641406,46.4980142
"162",11.8644594,46.4978053
"163",11.8647803,46.497664
"164",11.8652061,46.4974986
"165",11.8654113,46.4972807
"166",11.8657323,46.497162
"167",11.8661821,46.4970432
"168",11.8663043,46.4969305
"169",11.866538,46.4969095
"170",11.8666646,46.4969305
"171",11.8670904,46.4972401
"172",11.8674506,46.497422
"173",11.8676362,46.4974536
"174",11.8679899,46.497431
"175",11.8684157,46.4973919
"176",11.868848,46.4973874
"177",11.8691536,46.4973874
"178",11.8694418,46.4972416
"179",11.8699571,46.4971665
"180",11.8705969,46.4970628
"181",11.871158,46.4970011
"182",11.871551,46.4970087
"183",11.8719374,46.4970402
"184",11.8721209,46.4970462
"185",11.8722235,46.4970778
"186",11.8716383,46.4971575
"187",11.8706165,46.497404
"188",11.8696798,46.4976189
"189",11.8689986,46.4977767
"190",11.8686493,46.4977872
"191",11.8675467,46.4976444
"192",11.8671056,46.4975543
"193",11.8668174,46.49744
"194",11.8665904,46.4972792
"195",11.8662694,46.4973694
"196",11.8657323,46.4976039
"197",11.8652083,46.4978083
"198",11.864693,46.4980593
"199",11.8641821,46.4983614
"200",11.8636537,46.4986079
"201",11.863359,46.4988213
"202",11.8626668,46.4992271
"203",11.8622585,46.4993563
"204",11.8616647,46.4997095
"205",11.8614376,46.4998192
"206",11.8612813,46.4997474
"207",11.8672662,46.48382
"208",11.8672176,46.4837343
"209",11.8675665,46.483273
